GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kfirst,lesson10.task1,Parser,46,258,5,21,2,29,6,14,1,5
kfirst,lesson10.task1,Expression.Negate,0,13,0,0,0,1,0,2,0,2
kfirst,lesson10.task1,Expression.Constant,0,10,0,0,0,1,0,2,0,2
kfirst,lesson10.task1,Expression,0,97,0,11,0,11,0,8,0,1
kfirst,lesson10.task1,Expression.Variable,0,4,0,0,0,1,0,1,0,1
kfirst,lesson10.task1,Expression.Binary,0,31,0,0,0,1,0,4,0,4
kfirst,lesson10.task1,RegexKt,4,103,1,7,0,13,1,5,0,2
kfirst,lesson10.task1,Expression.Operation,0,33,0,0,0,5,0,1,0,1
kfirst,lesson10.task2,HtmlKt.generateListHtml.new Function1() {...},6,3,0,0,2,0,0,1,0,1
kfirst,lesson10.task2,HtmlKt,13,164,0,4,2,28,0,7,0,5
kfirst,lesson10.task2,HtmlKt.convertToHtmlTableUsingKotlinxHtml.1.1.1.new Function1() {...},0,26,0,2,0,3,0,2,0,1
kfirst,lesson10.task2,HtmlKt.generateSimpleHtml.new Function1() {...},0,13,0,0,0,2,0,1,0,1
kfirst,lesson10.task2,HtmlKt.generateSimpleHtml.1.new Function1() {...},0,8,0,0,0,2,0,1,0,1
kfirst,lesson10.task2,HtmlKt.convertToHtmlTableUsingKotlinxHtml.1.1.new Function1() {...},0,26,0,2,0,3,0,2,0,1
kfirst,lesson10.task2,HtmlKt.convertToHtmlTableUsingKotlinxHtml.1.1.1.1.new Function1() {...},0,8,0,0,0,1,0,1,0,1
kfirst,lesson10.task2,HtmlKt.generateListHtml.1.1.new Function1() {...},13,0,0,0,1,0,1,0,1,0
kfirst,lesson10.task2,HtmlKt.convertToHtmlTableUsingKotlinxHtml.1.new Function1() {...},0,16,0,0,0,2,0,1,0,1
kfirst,lesson10.task2,HTMLItem,16,0,0,0,2,0,3,0,3,0
kfirst,lesson10.task2,HTML,3,34,0,0,0,6,1,2,1,2
kfirst,lesson10.task2,HtmlKt.generateListHtml.1.new Function1() {...},6,3,0,0,2,0,0,1,0,1
